ID_Cliente,Evasion,Genero,EsAdultoMayor,TienePareja,TieneDependientes,AntigüedadMeses,ServicioTelefonico,MultiplesLineas,TipoInternet,SeguridadEnLinea,RespaldoEnLinea,ProteccionEquipos,SoporteTecnico,TVStreaming,PeliculasStreaming,TipoContrato,FacturaDigital,MetodoPago,CargosMensuales,CargosTotales,CargosDiarios
0137-UDEUO,True,Female,0,False,False,3,True,False,No,,,,,,,Month-to-month,False,Mailed check,19.85,63.75,0.65
0139-IVFJG,False,Female,0,True,False,2,True,False,Fiber optic,True,True,False,False,True,False,Month-to-month,False,Electronic check,90.35,190.5,2.97
0141-YEAYS,False,Female,1,False,False,27,True,True,Fiber optic,False,True,True,False,False,False,Month-to-month,True,Bank transfer (automatic),86.45,2401.05,2.84
0142-GVYSN,False,Male,0,False,False,26,True,False,No,,,,,,,Month-to-month,True,Electronic check,20.3,511.25,0.67
0147-ESWWR,False,Female,1,True,False,39,True,True,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Electronic check,101.25,3949.15,3.33
0148-DCDOS,True,Male,0,False,False,25,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Bank transfer (automatic),94.7,2362.1,3.11
0151-ONTOV,True,Female,0,False,False,1,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,False,Mailed check,70.9,70.9,2.33
0156-FVPTA,True,Male,0,True,False,22,True,False,DSL,True,False,False,True,False,False,Month-to-month,True,Electronic check,54.2,1152.7,1.78
0164-APGRB,False,Female,0,False,False,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Electronic check,114.9,8496.7,3.77
0164-XAIRP,False,Female,0,False,False,24,True,False,No,,,,,,,Two year,True,Bank transfer (automatic),19.55,470.2,0.64
0168-XZKBB,False,Female,0,True,False,19,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,86.85,1564.4,2.85
0174-QRVVY,False,Male,0,True,True,71,True,True,No,,,,,,,Two year,False,Credit card (automatic),25.35,1847.55,0.83
0177-PXBAT,False,Male,1,True,False,33,True,True,Fiber optic,True,False,True,True,True,True,Month-to-month,True,Bank transfer (automatic),109.9,3694.7,3.61
0178-CIIKR,False,Female,0,False,False,3,True,False,No,,,,,,,Month-to-month,False,Mailed check,19.95,58.0,0.66
0178-SZBHO,False,Male,0,True,True,47,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,False,Electronic check,87.2,4017.45,2.86
0181-RITDD,False,Male,0,True,True,62,True,False,Fiber optic,True,True,True,True,True,True,Two year,False,Mailed check,108.15,6825.65,3.55
0186-CAERR,False,Male,0,False,False,71,True,True,Fiber optic,True,True,True,True,True,True,One year,True,Bank transfer (automatic),116.3,8309.55,3.82
0187-QSXOE,False,Male,1,True,False,7,True,False,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,89.0,605.45,2.92
0187-WZNAB,False,Female,0,True,True,27,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,False,Mailed check,74.4,1972.35,2.44
0188-GWFLE,False,Male,0,False,False,2,True,False,No,,,,,,,Month-to-month,False,Mailed check,20.05,33.7,0.66
0191-EQUUH,False,Female,0,False,True,25,False,,DSL,True,False,False,True,False,False,Two year,False,Bank transfer (automatic),35.05,844.45,1.15
0191-ZHSKZ,False,Male,1,False,False,30,True,False,DSL,True,True,False,False,True,True,Month-to-month,True,Electronic check,74.75,2111.3,2.46
0193-ESZXP,True,Female,1,True,False,58,True,False,Fiber optic,True,True,False,True,True,True,One year,True,Credit card (automatic),105.5,6205.5,3.47
0195-IESCP,True,Male,0,True,False,10,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,85.25,855.3,2.8
0196-JTUQI,False,Female,0,False,False,9,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Credit card (automatic),75.2,633.85,2.47
0196-VULGZ,True,Female,1,True,False,6,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,84.35,474.9,2.77
0197-PNKNK,False,Female,0,True,True,69,True,True,Fiber optic,True,False,True,False,False,False,One year,False,Bank transfer (automatic),84.45,5848.6,2.77
0201-MIBOL,False,Female,1,False,False,66,True,True,Fiber optic,True,False,False,False,True,True,Two year,True,Bank transfer (automatic),102.4,6471.85,3.36
0201-OAMXR,True,Female,0,False,False,70,True,True,Fiber optic,True,True,True,True,True,True,One year,False,Credit card (automatic),115.55,8127.6,3.8
0203-HHYIJ,True,Male,0,False,False,25,True,True,No,,,,,,,One year,False,Bank transfer (automatic),25.3,676.35,0.83
0206-OYVOC,False,Female,0,True,True,46,True,False,No,,,,,,,Two year,True,Mailed check,19.25,864.2,0.63
0206-TBWLC,False,Female,0,True,False,54,True,True,Fiber optic,True,True,True,True,True,True,One year,True,Mailed check,114.65,6049.5,3.77
0207-MDKNV,True,Female,0,False,False,15,True,False,Fiber optic,True,False,True,True,True,True,Month-to-month,False,Electronic check,105.1,1582.75,3.45
0208-BPQEJ,False,Female,0,True,True,12,True,False,No,,,,,,,Month-to-month,False,Bank transfer (automatic),19.4,198.1,0.64
0212-ISBBF,False,Female,0,False,False,22,False,,DSL,False,True,False,False,True,True,Month-to-month,True,Electronic check,50.35,1098.85,1.65
0214-JHPFW,False,Female,0,True,False,70,False,,DSL,False,True,True,True,True,True,Two year,False,Bank transfer (automatic),57.8,4039.3,1.9
0215-BQKGS,False,Male,0,False,False,30,True,False,Fiber optic,True,True,True,False,False,False,Month-to-month,True,Credit card (automatic),84.3,2438.6,2.77
0218-QNVAS,False,Male,0,True,True,71,True,True,Fiber optic,False,True,False,False,True,True,One year,False,Bank transfer (automatic),100.55,7113.75,3.3
0219-QAERP,False,Male,0,True,False,30,True,False,No,,,,,,,One year,False,Credit card (automatic),19.8,576.65,0.65
0219-YTZUE,True,Male,0,True,True,4,True,True,Fiber optic,False,True,True,False,False,False,Month-to-month,True,Bank transfer (automatic),84.8,371.9,2.79
0220-EBGCE,True,Male,0,False,False,2,True,False,Fiber optic,False,False,True,False,False,True,Month-to-month,True,Electronic check,85.85,167.3,2.82
0221-NAUXK,False,Male,0,False,True,10,True,False,No,,,,,,,One year,True,Bank transfer (automatic),19.95,219.5,0.66
0221-WMXNQ,False,Male,1,False,False,4,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,False,Electronic check,75.35,273.4,2.48
0222-CNVPT,False,Male,1,False,False,52,False,,DSL,True,False,False,False,True,True,Month-to-month,True,Credit card (automatic),48.8,2555.05,1.6
0224-HJAPT,True,Male,0,False,False,5,True,True,DSL,False,False,False,False,False,False,Month-to-month,False,Electronic check,47.15,223.15,1.55
0224-NIJLP,False,Male,0,True,True,8,True,False,No,,,,,,,Two year,False,Mailed check,20.15,165.5,0.66
0224-RLWWD,False,Female,1,False,False,2,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,44.3,89.3,1.46
0225-ZORZP,False,Male,0,False,False,3,True,False,Fiber optic,False,True,False,False,False,True,Month-to-month,False,Electronic check,84.3,235.05,2.77
0228-MAUWC,False,Male,0,False,False,19,True,True,DSL,False,False,True,True,False,False,Month-to-month,False,Electronic check,59.55,1144.6,1.96
0229-LFJAF,False,Male,0,False,False,72,True,True,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),69.65,4908.25,2.29
0230-UBYPQ,False,Male,1,True,False,63,False,,DSL,True,False,False,True,False,False,One year,False,Bank transfer (automatic),36.1,2298.9,1.19
0230-WEQUW,False,Male,0,True,False,66,False,,DSL,True,True,True,True,True,False,Two year,True,Bank transfer (automatic),56.6,3789.2,1.86
0231-LXVAP,True,Male,0,False,False,1,True,False,Fiber optic,False,False,False,True,False,False,Month-to-month,True,Electronic check,75.9,75.9,2.49
0233-FTHAV,False,Female,0,False,False,60,True,True,Fiber optic,False,False,True,False,False,False,One year,True,Bank transfer (automatic),79.2,4765.0,2.6
0234-TEVTT,False,Female,0,True,True,48,False,,DSL,True,False,True,False,False,True,One year,False,Credit card (automatic),45.0,2196.3,1.48
0235-KGSLC,True,Female,0,False,False,1,True,False,Fiber optic,False,False,True,False,True,False,Month-to-month,True,Credit card (automatic),85.55,85.55,2.81
0236-HFWSV,True,Male,0,False,False,15,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,93.35,1444.65,3.07
0237-YFUTL,False,Female,0,True,False,50,True,True,Fiber optic,True,True,False,True,True,True,Month-to-month,True,Bank transfer (automatic),109.65,5405.8,3.6
0238-WHBIQ,False,Male,0,True,True,72,True,True,DSL,True,True,True,True,True,True,Two year,False,Credit card (automatic),89.7,6339.3,2.95
0239-OXEXL,False,Female,0,False,False,46,True,True,Fiber optic,True,True,False,False,False,False,Month-to-month,False,Mailed check,84.25,3847.6,2.77
0244-LGNFY,False,Female,0,True,True,72,True,True,DSL,True,True,True,True,True,True,Two year,False,Bank transfer (automatic),92.65,6733.0,3.04
0247-SLUJI,False,Male,0,True,True,1,True,False,No,,,,,,,Month-to-month,False,Mailed check,19.7,19.7,0.65
0248-IPDFW,False,Female,0,False,False,1,True,True,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,50.1,50.1,1.65
0248-PGHBZ,False,Female,1,False,False,67,True,False,Fiber optic,True,True,False,True,True,False,Two year,True,Bank transfer (automatic),92.45,6140.85,3.04
0253-ZTEOB,False,Female,0,True,True,48,True,True,DSL,False,True,False,True,True,True,Two year,False,Electronic check,79.65,3870.3,2.62
0254-FNMCI,False,Female,0,False,False,72,True,False,Fiber optic,True,True,True,True,True,True,Two year,True,Electronic check,109.9,7624.2,3.61
0254-KCJGT,False,Male,0,True,False,52,True,True,DSL,True,True,True,True,False,True,One year,True,Credit card (automatic),81.4,4354.45,2.67
0254-WWRKD,False,Female,0,True,True,67,True,False,DSL,False,True,False,False,False,False,One year,False,Credit card (automatic),50.55,3431.75,1.66
0256-LTHVJ,True,Female,0,True,True,28,True,False,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,81.05,2227.1,2.66
0257-KXZGU,False,Female,0,True,True,32,True,True,DSL,False,True,True,False,False,False,Month-to-month,False,Bank transfer (automatic),62.45,2045.55,2.05
0257-ZESQC,True,Female,1,True,False,27,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),75.2,1929.35,2.47
0258-NOKBL,False,Male,0,False,False,3,True,False,Fiber optic,False,True,True,False,False,True,Month-to-month,False,Electronic check,90.4,268.45,2.97
0259-GBZSH,True,Male,0,False,False,2,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,85.65,181.5,2.81
0260-ZDLGK,True,Female,0,False,True,9,True,False,DSL,False,False,True,True,True,True,Month-to-month,True,Mailed check,72.9,651.4,2.39
0263-FJTQO,False,Male,0,True,True,50,True,True,DSL,True,False,False,True,True,False,Two year,True,Credit card (automatic),70.5,3486.65,2.32
0264-CNITK,False,Female,0,True,True,71,True,False,No,,,,,,,Two year,False,Bank transfer (automatic),20.1,1389.6,0.66
0265-EDXBD,True,Male,1,True,False,32,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,74.9,2303.35,2.46
0265-PSUAE,False,Female,0,True,True,16,True,False,Fiber optic,True,False,True,False,True,True,Month-to-month,False,Bank transfer (automatic),100.7,1522.7,3.31
0266-CLZKZ,False,Female,0,True,True,67,True,True,Fiber optic,False,False,True,True,True,True,Two year,True,Bank transfer (automatic),105.65,6717.9,3.47
0266-GMEAO,False,Male,0,True,True,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Credit card (automatic),114.3,8058.55,3.75
0268-QKIWO,True,Female,0,False,False,3,True,False,No,,,,,,,Month-to-month,False,Electronic check,19.75,58.85,0.65
0269-XFESX,False,Male,0,True,True,23,True,True,No,,,,,,,One year,False,Mailed check,24.35,538.5,0.8
0270-THENM,False,Male,0,True,True,72,True,True,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),69.85,5102.35,2.29
0274-JKUJR,False,Male,0,True,True,7,False,,DSL,True,True,True,False,True,True,Month-to-month,False,Mailed check,58.85,465.7,1.93
0277-BKSQP,False,Male,0,True,True,8,True,False,DSL,False,False,False,False,True,False,Month-to-month,True,Electronic check,54.4,475.1,1.79
0277-ORXQS,False,Male,0,True,True,66,False,,DSL,False,False,False,True,True,True,Two year,False,Bank transfer (automatic),50.55,3364.55,1.66
0278-YXOOG,True,Male,0,False,False,5,True,False,No,,,,,,,Month-to-month,False,Mailed check,21.05,113.85,0.69
0280-XJGEX,True,Male,0,False,False,49,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),103.7,5036.3,3.41
0281-CNTZX,False,Male,0,True,False,63,True,False,No,,,,,,,Two year,True,Bank transfer (automatic),19.95,1234.8,0.66
0282-NVSJS,False,Female,1,True,True,12,False,,DSL,False,False,False,True,False,False,Month-to-month,True,Mailed check,29.3,355.9,0.96
0285-INHLN,False,Male,0,True,True,27,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Credit card (automatic),54.75,1510.3,1.8
0289-IVARM,False,Female,0,False,False,35,True,False,DSL,True,True,True,False,False,False,Month-to-month,False,Electronic check,60.55,1982.6,1.99
0292-WEGCH,False,Female,0,True,True,54,True,True,DSL,False,True,True,True,True,True,Month-to-month,True,Electronic check,86.2,4524.05,2.83
0295-PPHDO,True,Male,0,False,False,1,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,95.45,95.45,3.14
0295-QVKPB,False,Male,0,False,False,5,True,False,DSL,False,False,True,True,True,False,Month-to-month,True,Credit card (automatic),63.95,318.1,2.1
0297-RBCSG,False,Male,0,False,False,19,True,False,DSL,False,True,False,True,False,True,One year,True,Bank transfer (automatic),65.35,1231.85,2.15
0298-XACET,False,Male,0,True,True,52,False,,DSL,False,True,True,True,True,False,Two year,False,Mailed check,50.2,2554.0,1.65
0301-FIDRB,False,Female,0,True,True,72,False,,DSL,True,True,True,True,True,True,Two year,True,Bank transfer (automatic),63.8,4684.3,2.1
0301-KOBTQ,False,Male,0,False,False,32,True,False,No,,,,,,,Two year,True,Bank transfer (automatic),20.05,614.45,0.66
0302-JOIVN,True,Female,0,True,False,8,True,False,Fiber optic,False,True,True,False,True,True,Month-to-month,False,Electronic check,101.15,842.9,3.32
0303-UNCIP,False,Male,0,False,False,41,True,True,DSL,False,False,True,False,False,True,One year,False,Mailed check,65.0,2531.8,2.14
0303-WMMRN,False,Male,0,False,False,5,True,False,No,,,,,,,Month-to-month,True,Mailed check,19.25,86.05,0.63
0305-SQECB,False,Female,0,False,True,11,False,,DSL,True,False,False,True,False,False,One year,True,Mailed check,36.05,402.6,1.18
0306-JAELE,True,Male,0,False,False,5,True,False,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Electronic check,96.1,453.4,3.16
0307-BCOPK,False,Female,0,False,False,16,True,False,No,,,,,,,One year,False,Mailed check,19.05,326.65,0.63
0308-GIQJT,False,Male,1,False,False,71,True,True,Fiber optic,False,True,False,True,True,True,One year,False,Bank transfer (automatic),105.75,7382.85,3.47
0308-IVGOK,False,Female,0,False,False,11,False,,DSL,False,True,True,True,False,False,One year,True,Credit card (automatic),40.4,422.6,1.33
0310-MVLET,True,Female,0,True,True,61,True,True,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Electronic check,99.15,6010.05,3.26
